n,nanosec,iterations
100,55200,1328
200,109500,3237
300,147700,5440
400,197700,7644
500,338200,10044
600,359700,12640
700,358300,16155
800,412900,17655
900,113400,21638
1000,115000,24054
1100,125400,26446
1200,126300,28849
1300,128200,33846
1400,125500,35050
1500,141000,37549
1600,140500,41653
1700,152300,44259
1800,141200,46857
1900,73600,51369
2000,75800,52054
2100,85500,56753
2200,87700,59445
2300,88700,64456
2400,93900,67261
2500,97400,70053
2600,100500,72862
2700,106100,75659
2800,133700,81261
2900,115400,81253
3000,134500,87061
3100,129000,89955
3200,129200,92858
3300,157900,95770
3400,138700,98648
3500,158600,105061
3600,176700,108054
3700,175600,107363
3800,192200,114064
3900,198500,117076
4000,168500,120058
4100,184500,123059
4200,176800,126052
4300,185500,133351
4400,221700,136467
4500,230600,135055
4600,196100,142660
4700,200900,145769
4800,205100,148869
4900,210000,151972
5000,231400,160057
5100,219800,163274
5200,228700,161273
5300,227700,169647
5400,240100,172860
5500,238900,176067
5600,244600,179253
5700,285200,182458
5800,314300,185673
5900,310400,188870
6000,291200,192069
6100,286400,195273
6200,275000,198466
6300,282200,201661
6400,305100,204869
6500,287100,208073
6600,314100,211268
6700,300200,214453
6800,310200,224469
6900,310800,227772
7000,316400,231053
7100,324800,234361
7200,329200,237675
7300,332200,240965
7400,351000,244263
7500,336000,247569
7600,345100,250874
7700,348800,261862
7800,355700,265267
7900,418300,260771
8000,445600,272068
8100,370200,275469
8200,375700,278876
8300,410600,282249
8400,387300,285655
8500,387600,289069
8600,394100,292474
8700,400600,295855
8800,405600,299260
8900,409900,302662
9000,416200,306075
9100,422600,309460
9200,428600,312872
9300,427500,316285
9400,436300,319666
9500,448300,323074
9600,446800,326477
9700,495100,339565
9800,460600,333266
9900,469200,346570
10000,470900,360067
